file,speaker,label,numeric_label,length (sec)
0.wav,Alec Guinness,spoof,1,1.8190625
1.wav,Alec Guinness,spoof,1,11.0960625
2.wav,Barack Obama,spoof,1,8.0980625
3.wav,Alec Guinness,spoof,1,10.4310625
4.wav,Christopher Hitchens,bona-fide,0,0.991
5.wav,Ayn Rand,bona-fide,0,3.96
6.wav,Barack Obama,spoof,1,4.6190625
7.wav,Donald Trump,bona-fide,0,2.1880625
8.wav,Donald Trump,bona-fide,0,5.146
9.wav,Alec Guinness,bona-fide,0,7.9370625
10.wav,Bernie Sanders,spoof,1,8.2990625
11.wav,Christopher Hitchens,bona-fide,0,4.1380625
12.wav,Calvin Coolidge,bona-fide,0,3.8960625
13.wav,Alec Guinness,spoof,1,1.906
14.wav,Barack Obama,bona-fide,0,1.5980625
15.wav,Bernie Sanders,spoof,1,6.7050625
16.wav,Winston Churchill,spoof,1,3.143
17.wav,Winston Churchill,spoof,1,3.122
18.wav,Donald Trump,bona-fide,0,1.7390625
19.wav,Bob Ross,spoof,1,7.584
20.wav,Donald Trump,bona-fide,0,1.5230625
21.wav,Richard Nixon,spoof,1,7.302
22.wav,2Pac,bona-fide,0,2.345
23.wav,Donald Trump,bona-fide,0,1.56
24.wav,Ronald Reagan,spoof,1,2.408
25.wav,Ayn Rand,spoof,1,14.0730625
26.wav,JFK,bona-fide,0,3.386
27.wav,Arnold Schwarzenegger,bona-fide,0,2.0090625
28.wav,Nick Offerman,bona-fide,0,1.1190625
29.wav,Bill Clinton,bona-fide,0,3.325
30.wav,Martin Luther King,bona-fide,0,1.384
31.wav,Bill Burr,spoof,1,14.6350625
32.wav,Ronald Reagan,spoof,1,5.252
33.wav,Bill Clinton,bona-fide,0,4.503
34.wav,Alec Guinness,spoof,1,5.232
35.wav,Ayn Rand,spoof,1,5.8040625
36.wav,Christopher Hitchens,bona-fide,0,1.9320625
37.wav,Ronald Reagan,bona-fide,0,3.0390625
38.wav,Barack Obama,bona-fide,0,1.512
39.wav,Christopher Hitchens,bona-fide,0,1.055
40.wav,Christopher Hitchens,spoof,1,1.3360625
41.wav,Donald Trump,spoof,1,4.6390625
42.wav,Bernie Sanders,spoof,1,2.86
43.wav,Ayn Rand,spoof,1,3.14
44.wav,Bernie Sanders,bona-fide,0,4.027
45.wav,Mark Zuckerberg,bona-fide,0,13.754
46.wav,Alec Guinness,bona-fide,0,4.5740625
47.wav,Alec Guinness,spoof,1,5.9650625
48.wav,Richard Nixon,bona-fide,0,1.4850625
49.wav,Barack Obama,bona-fide,0,3.7680625
50.wav,George W. Bush,spoof,1,2.2980625
51.wav,Dave Chappelle,bona-fide,0,2.951
52.wav,Bernie Sanders,bona-fide,0,7.8330625
53.wav,Boris Johnson,bona-fide,0,1.48
54.wav,Martin Luther King,bona-fide,0,1.291
55.wav,Bill Clinton,bona-fide,0,1.521
56.wav,JFK,bona-fide,0,2.1920625
57.wav,Alan Watts,spoof,1,2.8650625
58.wav,Mark Zuckerberg,bona-fide,0,2.281
59.wav,Louis C.K.,spoof,1,11.5740625
60.wav,The Notorious B.I.G.,spoof,1,1.93
61.wav,Alec Guinness,spoof,1,7.042
62.wav,Ronald Reagan,spoof,1,3.038
63.wav,Ayn Rand,spoof,1,4.849
64.wav,Ayn Rand,bona-fide,0,4.328
65.wav,Mark Zuckerberg,spoof,1,7.876
66.wav,Barack Obama,bona-fide,0,1.5100625
67.wav,Bernie Sanders,bona-fide,0,3.761
68.wav,Bernie Sanders,spoof,1,1.745
69.wav,Bernie Sanders,spoof,1,5.1160625
70.wav,Alan Watts,bona-fide,0,1.9350625
71.wav,Jimmy Carter,bona-fide,0,3.1730625
72.wav,Barack Obama,bona-fide,0,6.6980625
73.wav,Bill Clinton,bona-fide,0,1.1760625
74.wav,Christopher Hitchens,bona-fide,0,1.82
75.wav,Winston Churchill,bona-fide,0,1.9060625
76.wav,Bill Clinton,spoof,1,2.881
77.wav,Alec Guinness,bona-fide,0,1.227
78.wav,Dwight Eisenhower,bona-fide,0,1.822
79.wav,2Pac,spoof,1,2.35
80.wav,Donald Trump,bona-fide,0,5.366
81.wav,Bernie Sanders,spoof,1,1.9180625
82.wav,Alec Guinness,bona-fide,0,9.57
83.wav,Bill Clinton,bona-fide,0,2.5110625
84.wav,Bernie Sanders,bona-fide,0,2.666
85.wav,Bernie Sanders,bona-fide,0,7.641
86.wav,Alec Guinness,bona-fide,0,1.5990625
87.wav,Alec Guinness,bona-fide,0,2.8940625
88.wav,Ronald Reagan,bona-fide,0,2.311
89.wav,Barack Obama,bona-fide,0,4.107
90.wav,Donald Trump,bona-fide,0,3.169
91.wav,Bill Clinton,spoof,1,2.8
92.wav,Mitch Hedberg,spoof,1,2.5360625
93.wav,Ayn Rand,bona-fide,0,2.148
94.wav,Barack Obama,bona-fide,0,3.2300625
95.wav,Bill Clinton,bona-fide,0,3.3710625
