file,speaker,label,numeric_label,length (sec)
4.wav,Christopher Hitchens,bona-fide,0,0.991
5.wav,Ayn Rand,bona-fide,0,3.96
7.wav,Donald Trump,bona-fide,0,2.1880625
8.wav,Donald Trump,bona-fide,0,5.146
10.wav,Bernie Sanders,spoof,1,8.2990625
11.wav,Christopher Hitchens,bona-fide,0,4.1380625
12.wav,Calvin Coolidge,bona-fide,0,3.8960625
15.wav,Bernie Sanders,spoof,1,6.7050625
16.wav,Winston Churchill,spoof,1,3.143
17.wav,Winston Churchill,spoof,1,3.122
18.wav,Donald Trump,bona-fide,0,1.7390625
19.wav,Bob Ross,spoof,1,7.584
20.wav,Donald Trump,bona-fide,0,1.5230625
22.wav,2Pac,bona-fide,0,2.345
23.wav,Donald Trump,bona-fide,0,1.56
24.wav,Ronald Reagan,spoof,1,2.408
25.wav,Ayn Rand,spoof,1,14.0730625
26.wav,JFK,bona-fide,0,3.386
27.wav,Arnold Schwarzenegger,bona-fide,0,2.0090625
28.wav,Nick Offerman,bona-fide,0,1.1190625
30.wav,Martin Luther King,bona-fide,0,1.384
31.wav,Bill Burr,spoof,1,14.6350625
32.wav,Ronald Reagan,spoof,1,5.252
35.wav,Ayn Rand,spoof,1,5.8040625
36.wav,Christopher Hitchens,bona-fide,0,1.9320625
37.wav,Ronald Reagan,bona-fide,0,3.0390625
39.wav,Christopher Hitchens,bona-fide,0,1.055
40.wav,Christopher Hitchens,spoof,1,1.3360625
41.wav,Donald Trump,spoof,1,4.6390625
42.wav,Bernie Sanders,spoof,1,2.86
43.wav,Ayn Rand,spoof,1,3.14
44.wav,Bernie Sanders,bona-fide,0,4.027
45.wav,Mark Zuckerberg,bona-fide,0,13.754
50.wav,George W. Bush,spoof,1,2.2980625
51.wav,Dave Chappelle,bona-fide,0,2.951
52.wav,Bernie Sanders,bona-fide,0,7.8330625
53.wav,Boris Johnson,bona-fide,0,1.48
54.wav,Martin Luther King,bona-fide,0,1.291
56.wav,JFK,bona-fide,0,2.1920625
57.wav,Alan Watts,spoof,1,2.8650625
58.wav,Mark Zuckerberg,bona-fide,0,2.281
59.wav,Louis C.K.,spoof,1,11.5740625
62.wav,Ronald Reagan,spoof,1,3.038
63.wav,Ayn Rand,spoof,1,4.849
64.wav,Ayn Rand,bona-fide,0,4.328
65.wav,Mark Zuckerberg,spoof,1,7.876
67.wav,Bernie Sanders,bona-fide,0,3.761
68.wav,Bernie Sanders,spoof,1,1.745
69.wav,Bernie Sanders,spoof,1,5.1160625
70.wav,Alan Watts,bona-fide,0,1.9350625
71.wav,Jimmy Carter,bona-fide,0,3.1730625
74.wav,Christopher Hitchens,bona-fide,0,1.82
75.wav,Winston Churchill,bona-fide,0,1.9060625
78.wav,Dwight Eisenhower,bona-fide,0,1.822
79.wav,2Pac,spoof,1,2.35
80.wav,Donald Trump,bona-fide,0,5.366
81.wav,Bernie Sanders,spoof,1,1.9180625
84.wav,Bernie Sanders,bona-fide,0,2.666
85.wav,Bernie Sanders,bona-fide,0,7.641
88.wav,Ronald Reagan,bona-fide,0,2.311
90.wav,Donald Trump,bona-fide,0,3.169
92.wav,Mitch Hedberg,spoof,1,2.5360625
93.wav,Ayn Rand,bona-fide,0,2.148
98.wav,Bernie Sanders,bona-fide,0,13.7580625
99.wav,Bill Burr,bona-fide,0,1.984
100.wav,Alexandria Ocasio-Cortez,bona-fide,0,2.884
101.wav,Christopher Hitchens,spoof,1,1.9100625
102.wav,Milton Friedman,bona-fide,0,4.7730625
103.wav,Bernie Sanders,spoof,1,7.6090625
104.wav,Bernie Sanders,bona-fide,0,3.441
105.wav,Christopher Hitchens,bona-fide,0,2.9030625
108.wav,Donald Trump,bona-fide,0,1.723
109.wav,Arnold Schwarzenegger,bona-fide,0,1.972
110.wav,Milton Friedman,spoof,1,3.397
113.wav,Donald Trump,bona-fide,0,15.2770625
114.wav,Ayn Rand,spoof,1,1.523
117.wav,Alan Watts,spoof,1,1.249
118.wav,Bernie Sanders,spoof,1,3.062
121.wav,Ayn Rand,bona-fide,0,1.267
123.wav,Donald Trump,bona-fide,0,1.869
125.wav,Donald Trump,bona-fide,0,1.3900625
126.wav,Mitch Hedberg,spoof,1,11.881
127.wav,George W. Bush,spoof,1,5.2350625
128.wav,Alan Watts,spoof,1,4.4690625
129.wav,Milton Friedman,bona-fide,0,6.1990625
130.wav,Bernie Sanders,bona-fide,0,1.583
132.wav,JFK,spoof,1,3.882
134.wav,Donald Trump,bona-fide,0,9.0740625
135.wav,Bernie Sanders,spoof,1,1.433
138.wav,Donald Trump,spoof,1,23.304
139.wav,Bernie Sanders,spoof,1,8.281
141.wav,Mark Zuckerberg,bona-fide,0,3.649
142.wav,Mark Zuckerberg,bona-fide,0,5.4290625
143.wav,Ayn Rand,bona-fide,0,4.6270625
148.wav,Jerry Seinfeld,spoof,1,4.0320625
149.wav,Martin Luther King,bona-fide,0,0.881
151.wav,Martin Luther King,bona-fide,0,2.69
152.wav,Christopher Hitchens,bona-fide,0,1.884
153.wav,2Pac,spoof,1,1.0270625
154.wav,Winston Churchill,bona-fide,0,1.9590625
156.wav,Martin Luther King,bona-fide,0,3.0880625
158.wav,Donald Trump,bona-fide,0,11.58
159.wav,Bernie Sanders,spoof,1,4.5550625
160.wav,Martin Luther King,bona-fide,0,1.583
161.wav,Donald Trump,bona-fide,0,1.984
162.wav,Donald Trump,bona-fide,0,3.7350625
165.wav,George W. Bush,spoof,1,8.6590625
167.wav,Ayn Rand,bona-fide,0,5.03
169.wav,Ayn Rand,bona-fide,0,2.641
170.wav,Tucker Carlson,spoof,1,3.017
171.wav,Donald Trump,bona-fide,0,3.933
172.wav,Ayn Rand,spoof,1,6.2470625
173.wav,Christopher Hitchens,bona-fide,0,1.3140625
175.wav,Nelson Mandela,spoof,1,1.045
177.wav,JFK,bona-fide,0,1.9580625
178.wav,Ronald Reagan,bona-fide,0,5.46
179.wav,Ayn Rand,spoof,1,7.351
180.wav,Donald Trump,bona-fide,0,4.2460625
181.wav,Christopher Hitchens,bona-fide,0,4.2180625
182.wav,Ayn Rand,spoof,1,15.0720625
