file,speaker,label,numeric_label
0.wav,Alec Guinness,spoof,1
1.wav,Alec Guinness,spoof,1
2.wav,Barack Obama,spoof,1
3.wav,Alec Guinness,spoof,1
4.wav,Christopher Hitchens,bona-fide,0
5.wav,Ayn Rand,bona-fide,0
6.wav,Barack Obama,spoof,1
7.wav,Donald Trump,bona-fide,0
8.wav,Donald Trump,bona-fide,0
9.wav,Alec Guinness,bona-fide,0
10.wav,Bernie Sanders,spoof,1
11.wav,Christopher Hitchens,bona-fide,0
12.wav,Calvin Coolidge,bona-fide,0
13.wav,Alec Guinness,spoof,1
14.wav,Barack Obama,bona-fide,0
15.wav,Bernie Sanders,spoof,1
16.wav,Winston Churchill,spoof,1
17.wav,Winston Churchill,spoof,1
18.wav,Donald Trump,bona-fide,0
19.wav,Bob Ross,spoof,1
20.wav,Donald Trump,bona-fide,0
21.wav,Richard Nixon,spoof,1
22.wav,2Pac,bona-fide,0
23.wav,Donald Trump,bona-fide,0
24.wav,Ronald Reagan,spoof,1
25.wav,Ayn Rand,spoof,1
26.wav,JFK,bona-fide,0
27.wav,Arnold Schwarzenegger,bona-fide,0
28.wav,Nick Offerman,bona-fide,0
29.wav,Bill Clinton,bona-fide,0
30.wav,Martin Luther King,bona-fide,0
31.wav,Bill Burr,spoof,1
32.wav,Ronald Reagan,spoof,1
33.wav,Bill Clinton,bona-fide,0
34.wav,Alec Guinness,spoof,1
35.wav,Ayn Rand,spoof,1
36.wav,Christopher Hitchens,bona-fide,0
37.wav,Ronald Reagan,bona-fide,0
38.wav,Barack Obama,bona-fide,0
39.wav,Christopher Hitchens,bona-fide,0
40.wav,Christopher Hitchens,spoof,1
41.wav,Donald Trump,spoof,1
42.wav,Bernie Sanders,spoof,1
43.wav,Ayn Rand,spoof,1
44.wav,Bernie Sanders,bona-fide,0
45.wav,Mark Zuckerberg,bona-fide,0
46.wav,Alec Guinness,bona-fide,0
47.wav,Alec Guinness,spoof,1
48.wav,Richard Nixon,bona-fide,0
49.wav,Barack Obama,bona-fide,0
50.wav,George W. Bush,spoof,1
51.wav,Dave Chappelle,bona-fide,0
52.wav,Bernie Sanders,bona-fide,0
53.wav,Boris Johnson,bona-fide,0
54.wav,Martin Luther King,bona-fide,0
55.wav,Bill Clinton,bona-fide,0
56.wav,JFK,bona-fide,0
57.wav,Alan Watts,spoof,1
58.wav,Mark Zuckerberg,bona-fide,0
59.wav,Louis C.K.,spoof,1
60.wav,The Notorious B.I.G.,spoof,1
61.wav,Alec Guinness,spoof,1
62.wav,Ronald Reagan,spoof,1
63.wav,Ayn Rand,spoof,1
64.wav,Ayn Rand,bona-fide,0
65.wav,Mark Zuckerberg,spoof,1
66.wav,Barack Obama,bona-fide,0
67.wav,Bernie Sanders,bona-fide,0
68.wav,Bernie Sanders,spoof,1
69.wav,Bernie Sanders,spoof,1
70.wav,Alan Watts,bona-fide,0
71.wav,Jimmy Carter,bona-fide,0
72.wav,Barack Obama,bona-fide,0
73.wav,Bill Clinton,bona-fide,0
74.wav,Christopher Hitchens,bona-fide,0
75.wav,Winston Churchill,bona-fide,0
76.wav,Bill Clinton,spoof,1
77.wav,Alec Guinness,bona-fide,0
78.wav,Dwight Eisenhower,bona-fide,0
79.wav,2Pac,spoof,1
80.wav,Donald Trump,bona-fide,0
81.wav,Bernie Sanders,spoof,1
82.wav,Alec Guinness,bona-fide,0
83.wav,Bill Clinton,bona-fide,0
84.wav,Bernie Sanders,bona-fide,0
85.wav,Bernie Sanders,bona-fide,0
86.wav,Alec Guinness,bona-fide,0
87.wav,Alec Guinness,bona-fide,0
88.wav,Ronald Reagan,bona-fide,0
89.wav,Barack Obama,bona-fide,0
90.wav,Donald Trump,bona-fide,0
91.wav,Bill Clinton,spoof,1
92.wav,Mitch Hedberg,spoof,1
93.wav,Ayn Rand,bona-fide,0
94.wav,Barack Obama,bona-fide,0
